,acousticness,artist_genre,artists,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,track_uri,valence,lastfm_genre
0,0.3,[],['Champagne Pa'],0.652,245.473,0.6940000000000001,0.000394,4,0.141,-9.286,0,The Motion,0.48,2017,0.128,157.597,spotify:track:4HUYPMVUe0EWB0FTbwSz2d,0.5589999999999999,not available
1,0.912,[],['Dantes'],0.611,155.386,0.374,0.0,0,0.125,-17.569000000000006,0,Begging,0.5,2017,0.0438,99.989,spotify:track:4rllYUILfYqyGUP21yhMr8,0.35200000000000004,Hip-Hop
2,0.0673,"['dance pop', 'pop', 'post-teen pop', 'r&b']","['Beyoncé', 'Drake']",0.557,378.6,0.428,0.0019,5,0.139,-11.299,1,Mine,0.64,2014,0.13699999999999998,103.009,spotify:track:63FrXif0Pdu4NAPvTh87mw,0.0996,rnb
3,0.103,"['dance pop', 'pop', 'post-teen pop', 'r&b']",['Beyoncé'],0.436,369.04,0.534,0.00643,1,0.507,-9.416,0,Haunted,0.65,2014,0.0773,122.822,spotify:track:7cioKB5CHVzk09SOtTyn0T,0.325,rnb
4,0.342,"['electronic trap', 'vapor soul', 'vapor twitch']","['Big Wild', 'Yuna', 'Cabu']",0.629,226.979,0.579,0.0856,3,0.119,-6.859,0,Empty Room - Cabu Remix,0.46,2017,0.0358,124.966,spotify:track:7dEYUkZMdUs7rfOKRMr5lO,0.326,Hip-Hop
5,0.199,[],['ENI'],0.552,188.5,0.7290000000000001,0.00762,9,0.109,-7.661,0,Kiss'n in the Dark,0.41,2016,0.28300000000000003,113.645,spotify:track:65VJxeMXGdAlyQUlEA3oEX,0.209,pop
6,0.244,"['indie r&b', 'malaysian pop']","['Yuna', 'Jhene Aiko']",0.5920000000000001,209.747,0.45,0.00234,8,0.118,-7.657,1,Used To Love You,0.49,2016,0.0841,138.071,spotify:track:7nOtXCM1w97j4KeBRH2rPj,0.295,folk
7,0.268,"['dance pop', 'deep pop r&b', 'indie r&b', 'neo soul', 'pop', 'r&b', 'urban contemporary']","['Ella Mai', 'Ty Dolla $ign']",0.65,264.098,0.478,0.0,7,0.177,-7.512,0,She Don't (feat. Ty Dolla $Ign),0.75,2016,0.05,99.979,spotify:track:01JPQ87UHeGysPVwTqMJHK,0.147,rnb
8,0.0263,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']","['2 Chainz', 'Ty Dolla $ign', 'Trey Songz', 'Jhene Aiko']",0.841,210.2,0.516,0.00072,11,0.111,-7.461,0,It's A Vibe,0.8,2017,0.118,145.995,spotify:track:6H0AwSQ20mo62jGlPGB8S6,0.556,Hip-Hop
9,0.335,"['dance pop', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']","['Jhene Aiko', 'Swae Lee']",0.743,276.96,0.624,0.0,6,0.469,-7.403,0,Sativa,0.76,2017,0.0484,126.056,spotify:track:2pg2TiYo9Rb8KeB5JjP7jS,0.713,rnb
10,0.108,"['dance pop', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']",['Jhene Aiko'],0.639,236.16,0.778,1.12e-06,2,0.108,-6.004,1,While We're Young,0.74,2017,0.194,128.014,spotify:track:4mL59LVbKgOpEACxraGYdr,0.8079999999999999,rnb
11,0.924,"['indie r&b', 'pop', 'r&b', 'rap', 'trap music']","['6LACK', 'Jhene Aiko']",0.391,205.49,0.322,1.29e-06,3,0.0934,-9.809,1,First Fuck,0.68,2017,0.0628,83.947,spotify:track:1u4orOe6gYxeE9xKpv11Qi,0.45,rnb
12,0.147,"['dance pop', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']","['Jhene Aiko', 'Chris Brown']",0.6920000000000001,228.133,0.463,0.0,0,0.22,-9.506,1,Hello Ego,0.62,2017,0.0928,119.851,spotify:track:2kt06ZsD735FYBZO8yAAQs,0.4320000000000001,rnb
13,0.42,"['dance pop', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']","['Jhene Aiko', 'Big Sean']",0.474,178.92,0.64,1.0800000000000003e-05,1,0.177,-7.678,0,Moments,0.67,2017,0.251,124.098,spotify:track:2nvmHk4JnsZ94mygliLsou,0.227,rnb
14,0.127,"['afrobeats', 'afropop', 'azonto']","['WizKid', 'Drake']",0.825,211.293,0.453,3.82e-06,4,0.0838,-7.4289999999999985,0,Come Closer,0.67,2017,0.227,99.974,spotify:track:2zYs4BonN2ydkbrRk333SN,0.496,nigeria
15,0.326,"['dance pop', 'pop', 'r&b', 'urban contemporary']",['Rihanna'],0.619,206.4,0.539,0.0,1,0.106,-5.688,0,Sex With Me,0.68,2016,0.0409,112.006,spotify:track:6WAxKNbZoGNzQTIvdMqkFs,0.39,pop
16,0.498,"['edm', 'electro house', 'house', 'pop', 'progressive house']","['Calvin Harris', 'Frank Ocean', 'Migos']",0.736,230.813,0.795,1.21e-06,1,0.254,-3.299,0,Slide,0.74,2017,0.0545,104.066,spotify:track:7tr2za8SQg2CI8EDgrdtNl,0.511,electronic
17,0.495,"['indie r&b', 'pop', 'r&b', 'rap']","['SZA', 'Calvin Harris']",0.775,171.806,0.573,0.0,11,0.126,-4.933,1,The Weekend - Funk Wav Remix,0.83,2017,0.0585,101.925,spotify:track:0P6AWOA4LG1XOctzaVu5tt,0.667,soul
18,0.226,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.627,218.027,0.713,0.0,11,0.107,-5.6560000000000015,0,Inside Out,0.47,2011,0.0612,119.929,spotify:track:1MXmaCZEtfPrCbtYjJIbzl,0.53,pop
19,0.512,"['edm', 'electronic trap', 'pop']","['DJ Snake', 'Lauv']",0.78,198.286,0.764,1.14e-06,8,0.152,-4.098,1,A Different Way (with Lauv),0.72,2017,0.0391,104.988,spotify:track:1YMBg7rOjxzbya0fPOYfNX,0.545,electronic
20,0.0198,"['dance pop', 'pop', 'post-teen pop']","['Selena Gomez', 'Gucci Mane']",0.7070000000000001,186.113,0.611,3.59e-06,2,0.0651,-4.474,1,Fetish (feat. Gucci Mane),0.75,2017,0.0639,123.006,spotify:track:4lnAN2S1fcI0SjxEbksZVr,0.285,pop
21,0.322,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']","['Britney Spears', 'Tinashe']",0.752,213.535,0.784,0.0,0,0.11,-4.941,1,Slumber Party feat. Tinashe,0.66,2016,0.0754,135.039,spotify:track:2i9q8CteBmpslOJeQdMGqA,0.464,pop
22,0.319,"['edm', 'electro house', 'house', 'pop', 'progressive house']","['Calvin Harris', 'Kehlani', 'Lil Yachty']",0.7759999999999999,240.093,0.589,0.0,9,0.0715,-4.543,0,Faking It,0.72,2017,0.115,120.034,spotify:track:0pJPdSVti6cTM1Q6xYGmcf,0.6679999999999999,electronic
23,0.177,"['dance pop', 'pop', 'post-teen pop']",['Selena Gomez'],0.95,214.648,0.412,0.0,1,0.077,-6.5920000000000005,1,Bad Liar,0.75,2017,0.0731,121.019,spotify:track:2fZQIJew3nkNe99s2PKzul,0.73,pop
24,0.079,"['dance pop', 'pop', 'post-teen pop']",['Taylor Swift'],0.794,209.68,0.537,4.98e-06,7,0.227,-6.865,1,Gorgeous,0.33,2017,0.16899999999999998,92.022,spotify:track:0CLnkxpa3M4eA3HeGaERat,0.418,country
25,0.0793,['pop'],"['Maroon 5', 'SZA']",0.795,199.849,0.611,3.04e-06,5,0.0853,-5.224,0,What Lovers Do (feat. SZA),0.32,2017,0.0711,110.016,spotify:track:6YVpU5vVxezJCYeQUxIkRT,0.404,rock
26,0.0691,[],"['Aanysa', 'Snakehips']",0.782,225.353,0.742,1.82e-06,8,0.211,-2.25,1,Burn Break Crash,0.54,2016,0.107,122.031,spotify:track:7J9kqM3KFem6P3uSsyitIZ,0.398,pop
27,0.105,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop']","['Major Lazer', 'PARTYNEXTDOOR', 'Nicki Minaj']",0.8029999999999999,203.18,0.743,2.12e-06,1,0.099,-3.602,0,Run Up,0.67,2017,0.0681,108.005,spotify:track:0SujigeT7cxuxBfhN3eOcp,0.674,seen live
28,0.00543,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",['Chris Brown'],0.614,129.478,0.598,0.0,10,0.1,-6.335,0,Questions,0.79,2017,0.0561,105.803,spotify:track:5XQMr19TL7Mfksq9zihbOu,0.565,rnb
29,0.242,"['dance pop', 'pop', 'post-teen pop', 'r&b']",['Beyoncé'],0.875,309.72,0.434,0.00146,0,0.234,-7.683,1,Blow,0.62,2014,0.091,120.065,spotify:track:6wwrYruEgWlowPDZMq5116,0.777,rnb
30,0.0362,"['dance pop', 'pop', 'r&b', 'urban contemporary']","['Rihanna', 'SZA']",0.8859999999999999,161.067,0.58,2.3e-06,7,0.0882,-2.144,0,Consideration,0.63,2016,0.0513,144.988,spotify:track:0WgBb7XgdtbUW0GlYel9mH,0.809,pop
31,0.0295,"['dance pop', 'pop', 'post-teen pop']","['Camila Cabello', 'Quavo']",0.655,228.893,0.5760000000000001,0.115,5,0.132,-6.735,0,OMG,0.78,2017,0.0536,139.953,spotify:track:4xBjsLUSjcx2h7PcRikpQp,0.16699999999999998,pop
32,0.361,"['dance pop', 'pop', 'r&b', 'urban contemporary']",['Rihanna'],0.526,186.467,0.622,0.0,3,0.0986,-5.2,1,Desperado,0.65,2016,0.0936,188.783,spotify:track:6KFaHC9G178beAp7P0Vi5S,0.298,pop
33,0.132,"['canadian pop', 'dance pop', 'pop', 'post-teen pop']",['Justin Bieber'],0.59,208.12,0.797,0.0,4,0.0846,-4.901,0,Company,0.72,2015,0.0614,94.948,spotify:track:09mhA1SJjMHniZPF4Hcihn,0.425,pop
34,0.04,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show']","['Little Mix', 'Kid Ink']",0.635,202.96,0.73,0.0,1,0.423,-3.942,0,Touch,0.15,2017,0.0965,101.859,spotify:track:7FPOTINXrud2gCZVAsMTZc,0.541,pop
