,acousticness,artist_genre,artists,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,track_uri,valence,lastfm_genre
0,0.00346,"['alternative dance', 'chillwave', 'indie pop', 'indie psych-rock', 'indie rock', 'indietronica', 'modern rock', 'neo-psychedelic', 'portland indie', 'shimmer pop', 'synthpop']",['STRFKR'],0.605,180.72,0.825,0.8540000000000001,1,0.0531,-7.767,0,Holly,0.36,2008,0.0386,117.608,spotify:track:0XJyFdEV53XgpP90nEeab1,0.615,electronic
1,0.00136,"['alternative dance', 'chillwave', 'indie pop', 'indie psych-rock', 'indie rock', 'indietronica', 'modern rock', 'neo-psychedelic', 'portland indie', 'shimmer pop', 'synthpop']",['STRFKR'],0.48,157.067,0.778,0.8440000000000001,10,0.398,-8.9,1,Miss You,0.32,2008,0.0304,99.887,spotify:track:7jGBayWeRx9L7dal30nirr,0.183,electronic
2,0.00403,"['alternative dance', 'chillwave', 'indie pop', 'indie psych-rock', 'indie rock', 'indietronica', 'modern rock', 'neo-psychedelic', 'portland indie', 'shimmer pop', 'synthpop']",['STRFKR'],0.488,271.027,0.7509999999999999,0.69,10,0.239,-6.2429999999999986,0,Isabella of Castile,0.45,2008,0.0343,82.991,spotify:track:4wj53ItvfETfYRs4zzmiPC,0.16699999999999998,electronic
3,0.0322,"['canadian indie', 'chamber pop', 'garage rock', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'permanent wave']",['Arcade Fire'],0.315,239.065,0.915,6.14e-06,6,0.698,-4.548,0,You Already Know,0.36,2013,0.103,177.148,spotify:track:0lijVPETlmWEPFzGXMjhDs,0.601,indie
4,0.158,"['canadian indie', 'chamber pop', 'garage rock', 'indie folk', 'indie pop', 'indie rock', 'modern rock', 'permanent wave']",['Arcade Fire'],0.508,191.6,0.6920000000000001,0.655,6,0.103,-4.918,1,City With No Children,0.01,2010,0.0328,128.201,spotify:track:31iXIwJlgBluoFdU095dXL,0.659,indie
5,0.000102,"['alternative dance', 'british indie rock', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'shimmer pop']",['Bombay Bicycle Club'],0.389,214.413,0.93,0.126,2,0.35,-5.79,0,Bad Timing,0.33,2011,0.0962,126.008,spotify:track:15B4Ov5uXiC9GAJMoADBJD,0.489,indie
6,0.229,"['alternative dance', 'chillwave', 'indie pop', 'indie psych-rock', 'indie rock', 'indietronica', 'modern rock', 'neo-psychedelic', 'portland indie', 'shimmer pop', 'synthpop']",['STRFKR'],0.9,173.693,0.5379999999999999,0.843,7,0.287,-7.879,1,Rawnald Gregory Erickson the Second,0.65,2008,0.0343,95.508,spotify:track:4j4pPKE3xAblPIbhxScC1j,0.713,electronic
7,0.25,"['big room', 'brostep', 'edm', 'electro house', 'electronic trap', 'house', 'moombahton', 'pop', 'progressive electro house', 'tropical house']","['Dillon Francis', 'Totally Enormous Extinct Dinosaurs']",0.7170000000000001,246.0,0.637,0.306,0,0.34700000000000003,-3.401,0,Without You,0.04,2013,0.0347,119.951,spotify:track:6K3kOF05SrwfbAGcwqU4s8,0.392,moombahton
8,0.615,"['alternative dance', 'chillwave', 'indie pop', 'indie psych-rock', 'indie rock', 'indietronica', 'modern rock', 'neo-psychedelic', 'portland indie', 'shimmer pop', 'synthpop']",['STRFKR'],0.764,216.387,0.7440000000000001,0.435,9,0.173,-8.519,0,Malmo,0.42,2013,0.0307,132.056,spotify:track:4jU3iYHWpre263nlEhqrUl,0.963,electronic
9,0.0304,"['alternative dance', 'australian alternative rock', 'indietronica', 'new rave']",['Jagwar Ma'],0.614,315.0,0.838,0.000297,10,0.166,-6.896,1,Come Save Me,0.33,2013,0.028,127.971,spotify:track:1LwxeFBV1dODgamm5MBTrP,0.578,seen live
10,0.509,"['alternative dance', 'indie pop', 'indie rock', 'indietronica', 'metropopolis', 'modern rock', 'shimmer pop', 'synthpop']",['The Naked And Famous'],0.584,236.56,0.477,0.0108,0,0.112,-9.565,1,The Sun,0.38,2010,0.0312,123.996,spotify:track:3biMQVil52sKP7Rwj8o7Rb,0.0355,indie
11,0.0154,"['alternative dance', 'british indie rock', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'shimmer pop']",['Bombay Bicycle Club'],0.64,299.867,0.932,0.0622,6,0.493,-4.383,1,Feel,0.0,2014,0.0372,110.008,spotify:track:4xakygvlAqGzTQUCJodEyd,0.807,indie
12,0.0008460000000000001,"['edm', 'electro house', 'glitch', 'glitch hop']",['The Glitch Mob'],0.563,325.909,0.836,0.5,5,0.116,-5.891,0,We Can Make The World Stop,0.58,2011,0.0357,105.006,spotify:track:48n92l7OnLEURhalUBtsl7,0.154,glitch
13,0.0145,"['brostep', 'complextro', 'edm', 'electro']","['Skrillex', 'Sirah']",0.716,215.253,0.972,3.2200000000000003e-05,7,0.317,-2.302,1,Bangarang (feat. Sirah),0.72,2011,0.196,110.026,spotify:track:6VRhkROS2SZHGlp0pxndbJ,0.5760000000000001,dubstep
14,0.273,"['dance pop', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'pop rap', 'r&b', 'rap', 'urban contemporary']","['Jhene Aiko', 'Childish Gambino']",0.598,256.08,0.584,0.000105,6,0.132,-7.818,1,Bed Peace,0.39,2013,0.0628,119.784,spotify:track:3iIrtgucy1S2IMtozeYARI,0.269,rnb
15,0.0008089999999999999,"['indie folk', 'indie pop', 'indie rock', 'indietronica', 'la indie', 'modern rock', 'shimmer pop', 'stomp and holler', 'synthpop']",['Grouplove'],0.407,230.373,0.93,1.4300000000000004e-05,1,0.248,-6.297999999999999,1,Borderlines And Aliens,0.34,2013,0.0977,102.57,spotify:track:0EyoFAPGhBZVoFNIXEPQE3,0.263,indie
16,0.00182,"['alternative rock', 'garage rock', 'indie pop', 'indie rock', 'modern rock', 'punk blues']",['Cage The Elephant'],0.398,196.56,0.809,0.0,6,0.334,-6.1629999999999985,0,Lotus,0.47,2009,0.0359,128.495,spotify:track:0MtgNXtojIxW55FTkKKhnB,0.493,indie rock
17,0.0982,"['alternative rock', 'anti-folk', 'garage rock', 'indie rock', 'modern rock', 'permanent wave', 'rock']",['Beck'],0.684,219.6,0.797,0.0552,1,0.321,-6.586,1,The New Pollution,0.47,1996,0.03,132.121,spotify:track:4t5tAOTFUfb2FhHnnapWlB,0.883,alternative
18,0.501,"['indie folk', 'modern blues', 'new americana', 'roots rock', 'stomp and holler']",['J. Roddy Walston & The Business'],0.599,168.533,0.8959999999999999,5.16e-05,7,0.208,-5.796,1,Don't Break The Needle,0.01,2010,0.0578,130.977,spotify:track:1DwbxdmeSi0UVaEPkBo6XC,0.442,seen live
19,0.00475,"['nu gaze', 'pop', 'shiver pop']",['The 1975'],0.654,254.6,0.91,0.000685,11,0.462,-5.048,1,Girls,0.52,2013,0.0556,108.029,spotify:track:6d8jFIWMRwhVYe7SCQwlqL,0.879,indie
20,0.00168,"['big room', 'brostep', 'edm', 'electro house', 'electronic trap', 'house', 'moombahton', 'pop', 'progressive electro house', 'tropical house']",['Dillon Francis'],0.6659999999999999,248.727,0.93,0.000397,6,0.341,-3.826,0,I.D.G.A.F.O.S.,0.01,2011,0.0406,110.018,spotify:track:7FwsJLYnRNboaN7suQQePz,0.13,moombahton
21,0.016,"['alternative dance', 'indie pop', 'metropopolis', 'modern rock', 'shimmer pop']",['Capital Cities'],0.701,229.822,0.746,0.00676,1,0.128,-5.029,1,Farrah Fawcett Hair - feat. Andre 3000,0.0,2013,0.0394,125.921,spotify:track:0zR5QeOKnLlxjfpH2Iwq1N,0.645,electronic
22,0.000156,"['alternative dance', 'indie pop', 'indie rock', 'indietronica', 'metropopolis', 'modern rock', 'shimmer pop', 'synthpop']",['The Naked And Famous'],0.563,235.4,0.956,0.000364,11,0.0661,-4.95,0,All Of This,0.42,2010,0.0731,151.993,spotify:track:4Ip2JTqyVA9OOEFvNAkzdf,0.664,indie
23,0.000531,"['alternative metal', 'alternative rock', 'blues-rock', 'garage rock', 'modern rock', 'neo-psychedelic', 'nu metal', 'post-grunge', 'rock', 'stoner metal', 'stoner rock']",['Queens of the Stone Age'],0.187,235.4,0.855,0.0204,11,0.361,-4.316,0,My God Is The Sun,0.57,2013,0.0624,160.9,spotify:track:1Pc3gTtQG4Cq1x81NcXtCN,0.257,Stoner Rock
24,0.55,"['alternative rock', 'garage rock', 'indie pop', 'indie rock', 'modern rock', 'permanent wave', 'rock']",['The Strokes'],0.376,189.973,0.31,0.841,8,0.147,-9.79,1,Ask Me Anything,0.42,2006,0.0332,131.566,spotify:track:6THqWFqcUAAB7At66622Wr,0.461,indie rock
25,0.000193,"['edm', 'electro house', 'glitch', 'glitch hop']",['The Glitch Mob'],0.509,294.658,0.752,0.948,0,0.329,-5.457000000000002,1,Can't Kill Us,0.52,2014,0.0468,150.136,spotify:track:1t7adBEtxZXavJ1mbiyAWy,0.304,glitch
